id,value
OperatingSystems,
OperatingSystems.Unix,66400
OperatingSystems.Unix.UnknownUnix,28884
OperatingSystems.Unix.Linux,36852
OperatingSystems.Unix.Linux.Android,4
OperatingSystems.Unix.Linux.Debian,11719
OperatingSystems.Unix.Linux.Debian.LinuxMintDebianEdition,4
OperatingSystems.Unix.Linux.Debian.Knoppix,4
OperatingSystems.Unix.Linux.Debian.Ubuntu,13525
OperatingSystems.Unix.Linux.Debian.Ubuntu.LinuxMint,4
OperatingSystems.Unix.Linux.Debian.Ubuntu.ElementaryOS,4
OperatingSystems.Unix.Linux.Debian.Ubuntu.Trisequel,4
OperatingSystems.Unix.Linux.Debian.Ubuntu.Kubuntu,4
OperatingSystems.Unix.Linux.Fedora,295
OperatingSystems.Unix.Linux.Fedora.RedHatEnterpriseLinux,1216
OperatingSystems.Unix.Linux.Fedora.RedHatEnterpriseLinux.OracleLinux,4
OperatingSystems.Unix.Linux.Fedora.RedHatEnterpriseLinux.ScientificLinux,37
OperatingSystems.Unix.Linux.Fedora.RedHatEnterpriseLinux.CentOS,7665
OperatingSystems.Unix.Linux.MandrivaLinux,37
OperatingSystems.Unix.Linux.MandrivaLinux.Mageia,37
OperatingSystems.Unix.Linux.MandrivaLinux.PCLinuxOS,37
OperatingSystems.Unix.Linux.MandrivaLinux.RosaLinux,4
OperatingSystems.Unix.Linux.openSUSE,4
OperatingSystems.Unix.Linux.openSUSE.SUSELinuxEnterprise,258
OperatingSystems.Unix.Linux.ArchLinux,4
OperatingSystems.Unix.Linux.ArchLinux.ManjaroLinux,4
OperatingSystems.Unix.Linux.Gentoo,1032
OperatingSystems.Unix.Linux.Gentoo.Chrome,369
OperatingSystems.Unix.Linux.Slackware,4
OperatingSystems.Unix.Linux.UnknownLinux,958
OperatingSystems.Unix.BSD,
OperatingSystems.Unix.BSD.FreeBSD,463
OperatingSystems.Unix.BSD.FreeBSD.NetBSD,
OperatingSystems.Unix.BSD.FreeBSD.NetBSD.OpenBSD,37
OperatingSystems.Unix.BSD.SunOS,37
OperatingSystems.Unix.BSD.NeXTSTEP,
OperatingSystems.Unix.BSD.NeXTSTEP.macOS,66
OperatingSystems.Unix.BSD.NeXTSTEP.macOS.iOS,37
OperatingSystems.Unix.OracleSolaris,
OperatingSystems.Unix.OracleSolaris.OpenSolaris,
OperatingSystems.Unix.OracleSolaris.OpenSolaris.OpenIndiana,66
OperatingSystems.Unix.AIX,37
OperatingSystems.Unix.HP-UX,66
OperatingSystems.Unix.Minix,37
OperatingSystems.Windows,33600
